player_name,team,class_year,position,games_played,archetype_id,archetype_name,draft_probability,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct
Kaylen Reed,Western Illinois Leathernecks Women's,JR,G,32.0,1,Bench Guard/Wing,,438973,516439,593905,5.5,0.379,0.293,0.788,0.17,0.065,0.2,1.0,0.123,0.445
Raegan McCowan,Western Illinois Leathernecks Women's,JR,G,10.0,0,Elite Two-Way Big,,640546,753584,866621,17.0,0.478,0.292,0.721,0.065,0.159,0.1,0.4,0.38,0.537
Shelby Bowman,Western Illinois Leathernecks Women's,SO,G,21.0,1,Bench Guard/Wing,,538277,633267,728256,2.3,0.383,0.324,0.5,0.104,0.069,0.0,0.2,0.193,0.511
Katelyn Eggena,Western Illinois Leathernecks Women's,FR,F,19.0,1,Bench Guard/Wing,,527219,620258,713296,1.7,0.382,0.0,0.467,0.0,0.084,0.1,0.3,0.283,0.401
Sidney Skrobot,Western Illinois Leathernecks Women's,FR,F,27.0,1,Bench Guard/Wing,,512862,603368,693873,1.0,0.31,0.3,0.5,0.0,0.123,0.1,0.1,0.201,0.385
Kennedy Herrig,Western Illinois Leathernecks Women's,FR,F,17.0,4,Efficient Role Player,,515733,606745,697756,1.1,0.5,0.2,0.857,0.064,0.074,0.0,0.2,0.165,0.62
Ally Hollifield,Western Carolina Catamounts Women's,SO,G,29.0,2,High-Volume Wing/Guard,,546444,642876,739307,11.7,0.302,0.275,0.828,0.284,0.08,0.3,2.1,0.238,0.456
Taj Hunter,Western Carolina Catamounts Women's,SO,G,29.0,1,Bench Guard/Wing,,520477,612326,704174,10.2,0.36,0.273,0.685,0.145,0.065,0.4,1.3,0.258,0.442
Aryana Dizon,Western Carolina Catamounts Women's,SR,F,28.0,3,Interior Specialist,,482878,568092,653305,8.1,0.428,0.188,0.54,0.114,0.075,1.4,0.8,0.171,0.447
Betsey Burnett,Western Carolina Catamounts Women's,SO,G,29.0,1,Bench Guard/Wing,,473355,556888,640421,7.5,0.309,0.288,0.787,0.082,0.083,0.0,0.9,0.229,0.438
Grace Pack,Western Carolina Catamounts Women's,JR,C,24.0,3,Interior Specialist,,483800,569177,654553,8.1,0.42,0.311,0.87,0.053,0.104,0.8,0.2,0.19,0.53
Christina Bowers,Western Carolina Catamounts Women's,FR,G,29.0,1,Bench Guard/Wing,,582530,685329,788128,4.7,0.341,0.412,0.69,0.163,0.086,0.0,0.6,0.159,0.429
Kehinde Obasuyi,Western Carolina Catamounts Women's,SR,G,13.0,1,Bench Guard/Wing,,440928,518738,596549,5.6,0.339,0.45,0.88,0.218,0.046,0.0,0.7,0.195,0.494
Justice Zimmerman,Western Carolina Catamounts Women's,FR,F,29.0,3,Interior Specialist,,534016,628254,722492,2.1,0.377,0.0,0.625,0.043,0.104,0.1,0.3,0.133,0.421
Riley Price,Western Carolina Catamounts Women's,FR,F,14.0,3,Interior Specialist,,518851,610413,701975,1.3,0.583,0.0,0.667,0.022,0.097,0.2,0.0,0.111,0.606
